siteID	trapID	latitude_WGS84	longitude_WGS84	Locality		trap_habitat	malaise_trap_type	NILS_mhabitat	NILS_square	NILS_plot	trap_orientation_degrees_S	notes
9	TMNPJH	56.89761	12.72546	SE, Halland, Falkenbergs kommun, Särestad		forest	Multitrap	forest	56	12	180	NA
10	TXGZUY	56.91555	13.54871	SE, Halland, Hylte kommun, Nässja		forest	Single_trap	forest	58	11	190	NA
11	T8IKAG	56.92413	13.95213	SE, Småland, Ljungby kommun, Lagan		wetland	Single_trap	wetlands	59	2	200	NA
12	TNGTPF	56.9317	16.825	"SE, Öland, Borgholms kommun, Norrby
"		forest	Multitrap	forest	66	1	180	NA
12	TIRXWF	56.93147	16.82971	"SE, Öland, Borgholms kommun, Norrby
"		forest	Multitrap	forest	66	12	140	NA
12	TYKZSN	56.9317	16.8334	"SE, Öland, Borgholms kommun, Norrby
"		forest	Multitrap	forest	66	11	180	NA
12	TIAIK1	56.9376	16.8242	"SE, Öland, Borgholms kommun, Norrby
"		grassland	Multitrap	grasslands	66	4	240	NA
12	TRXMCY	56.9359	16.8252	"SE, Öland, Borgholms kommun, Norrby
"		grassland	Multitrap	grasslands	66	3	180	NA
12	TV6Z5Y	56.9386	16.8404	"SE, Öland, Borgholms kommun, Norrby
"		grassland	Multitrap	grasslands	66	7	180	NA
13	TDGFXV	56.93642	15.19485	SE, Småland, Uppvidinge kommun, Vraneke		grassland	Single_trap	grasslands	62	9	180	NA
14	TMLQED	57.16676	16.01334	SE, Småland, Högsby kommun, Högsby		forest	Multitrap	forest	78	6	164	NA
14	TWF14R	57.16018	16.01809	SE, Småland, Högsby kommun, Högsby		forest	Multitrap	forest	78	10	253	NA
14	THGUAX	57.16754	16.0202	SE, Småland, Högsby kommun, Högsby		urban	Multitrap	urban	78	7	162	NA
14	T5KGVY	57.16538	16.01778	SE, Småland, Högsby kommun, Högsby		urban	Multitrap	urban	78	8	98	NA
14	T6LS76	57.16676	16.00436	SE, Småland, Högsby kommun, Högsby		urban	Multitrap	urban	78	4	192	NA
14	TM4GA9	57.1669	16.00917	SE, Småland, Högsby kommun, Högsby		urban	Multitrap	urban/cropland	78	5	169	NA
15	T7WIMF	57.3824	14.75969	SE, Småland, Sävsjö kommun, Vallsjö		wetland	Single_trap	wetlands	88	2	200	NA
16	TFGCME	57.58628	18.52564	SE, Gotland, Gotlands kommun, Röstäde		cropland	Multitrap	cropland	108	6	189	NA
16	TGX4C7	57.5862	18.52715	SE, Gotland, Gotlands kommun, Röstäde		cropland	Multitrap	cropland	108	7	175	NA
16	T2KQJZ	57.58081	18.51479	SE, Gotland, Gotlands kommun, Röstäde		cropland	Multitrap	cropland	108	1	248	NA
16	TRH2QM	57.58653	18.52065	SE, Gotland, Gotlands kommun, Röstäde		forest	Multitrap	forest	108	5	150	NA
16	TJZEUI	57.5851226	18.5166415	SE, Gotland, Gotlands kommun, Röstäde		forest	Multitrap	forest/cropland	108	4	175	NA
16	TKLVMZ	57.58047	18.51858	SE, Gotland, Gotlands kommun, Röstäde		forest	Multitrap	forest	108	12	182	NA
17	TEYZYN	57.588	13.5053	"SE, Västergötland, Tranemo kommun, Nyfors
"		forest	Single_trap	forest	99	12	180	NA
18	T5ZUGG	57.60835	14.34689	SE, Småland, Jönköpings kommun, Falla		grassland	Single_trap	grasslands	101	7	180	NA
