sampleID_FIELD	trapID	sample_type	date	time	sample_accession_ENA	sample_status
TZZ9UM_L	TZZ9UM	litter	05-07-2019	09:10:00_AM	ERS18959246	sample processed and sequenced
TDPRNI_L	TDPRNI	litter	08-07-2019	01:45:00_PM	ERS18958969	sample processed and sequenced
TMSD51_L	TMSD51	litter	02-07-2019	10:00:00_AM	ERS18959100	sample processed and sequenced
TR9HSR_L	TR9HSR	litter	26-07-2019	10:00:00_AM	ERS18959124	sample processed and sequenced
TSSMCA_L	TSSMCA	litter	26-07-2019	03:40:00_PM	ERS18959150	sample processed and sequenced
TFGCME_S	TFGCME	soil	24-07-2019	11:30:00_AM	ERS18958990	sample processed and sequenced
TG6JK1_S	TG6JK1	soil	12-07-2019	08:41:00_AM	ERS18959004	sample processed and sequenced
T5FPCF_S	T5FPCF	soil	16-07-2019	02:05:00_PM	ERS18958898	sample processed and sequenced
TEYZYN_S	TEYZYN	soil	08-07-2019	02:30:00_PM	ERS18958982	sample processed and sequenced
TIUVZ1_S	TIUVZ1	soil	10-07-2019	04:50:00_PM	ERS18959039	sample processed and sequenced
TKMUNP_S	TKMUNP	soil	25-07-2019	03:50:00_PM	ERS18959071	sample processed and sequenced
TQNH2B_S	TQNH2B	soil	26-07-2019	04:00:00_PM	ERS18959121	sample processed and sequenced
TR24WG_S	TR24WG	soil	18-07-2019	09:30:00_AM	ERS18959123	sample processed and sequenced
TSSMCA_S	TSSMCA	soil	26-07-2019	03:40:00_PM	ERS18959151	sample processed and sequenced
TUDGN3_S	TUDGN3	soil	08-07-2019	02:55:00_PM	ERS18959173	sample processed and sequenced
TWF14R_S	TWF14R	soil	24-07-2019	09:50:00_AM	ERS18959195	sample processed and sequenced
T6YFBI_S	T6YFBI	soil	22-07-2019	03:00:00_PM	ERS18958914	sample processed and sequenced
TAKAXU_S	TAKAXU	soil	19-07-2019	03:40:00_PM	ERS18958934	sample processed and sequenced
TCSZX1_S	TCSZX1	soil	02-07-2019	10:15:00_AM	ERS18958960	sample processed and sequenced
TDCIPI_S	TDCIPI	soil	16-07-2019	11:50:00_AM	ERS18958964	sample processed and sequenced
